17:23:57.428	127.0.0.1:55644	admin	REQUEST	CREATE DB QIK	0.63 ms
17:23:57.446	127.0.0.1:55644	admin	OK	Database 'QIK' created in 15.54 ms.	17.7 ms
17:23:57.446	127.0.0.1:55644	admin	REQUEST	OPEN QIK	0.33 ms
17:23:57.447	127.0.0.1:55644	admin	OK	Database 'QIK' was opened in 0.03 ms.	0.32 ms
17:23:57.447	127.0.0.1:55644	admin	REQUEST	ADD TO a.xml [...]	0.17 ms
17:23:57.454	127.0.0.1:55644	admin	OK	Resource(s) added in 5.01 ms.	6.99 ms
17:23:57.459	127.0.0.1:55644	admin	OK	QUERY[0] //NN[text()='dog']	2.79 ms
17:23:57.460	127.0.0.1:55644	admin	REQUEST	EXIT	0.35 ms
17:23:57.460	127.0.0.1:55644	admin	OK		0.6 ms
17:25:18.166	127.0.0.1:55820	admin	REQUEST	CREATE DB QIK	0.42 ms
17:25:18.178	127.0.0.1:55820	admin	OK	Database 'QIK' created in 10.2 ms.	11.93 ms
17:25:18.179	127.0.0.1:55820	admin	REQUEST	OPEN QIK	0.47 ms
17:25:18.180	127.0.0.1:55820	admin	OK	Database 'QIK' was opened in 0.04 ms.	0.4 ms
17:25:18.180	127.0.0.1:55820	admin	REQUEST	ADD TO a.xml [...]	0.43 ms
17:25:18.186	127.0.0.1:55820	admin	OK	Resource(s) added in 4.43 ms.	5.94 ms
17:25:18.188	127.0.0.1:55820	admin	OK	QUERY[0] //NN[text()='dog']	0.18 ms
17:25:18.205	127.0.0.1:55820	admin	OK	RESULTS[0]	14.77 ms
17:25:18.206	127.0.0.1:55820	admin	OK	INFO[0]	0.31 ms
17:25:18.207	127.0.0.1:55820	admin	OK	CLOSE[0]	0.22 ms
17:25:18.208	127.0.0.1:55820	admin	REQUEST	EXIT	0.37 ms
17:25:18.209	127.0.0.1:55820	admin	OK		0.76 ms
17:25:44.640	127.0.0.1:55880	admin	REQUEST	CREATE DB QIK	0.39 ms
17:25:44.653	127.0.0.1:55880	admin	OK	Database 'QIK' created in 12.47 ms.	13.67 ms
17:25:44.654	127.0.0.1:55880	admin	REQUEST	OPEN QIK	0.34 ms
17:25:44.654	127.0.0.1:55880	admin	OK	Database 'QIK' was opened in 0.03 ms.	0.27 ms
17:25:44.655	127.0.0.1:55880	admin	REQUEST	ADD TO a.xml [...]	0.22 ms
17:25:44.665	127.0.0.1:55880	admin	OK	Resource(s) added in 8.85 ms.	10.62 ms
17:25:44.668	127.0.0.1:55880	admin	OK	QUERY[0] //NN[text()='cat']/following::VBG[text()='chasing']/following::NN[text()='dog']	0.31 ms
17:25:44.671	127.0.0.1:55880	admin	OK	RESULTS[0]	2.85 ms
17:25:44.672	127.0.0.1:55880	admin	OK	INFO[0]	0.19 ms
17:25:44.673	127.0.0.1:55880	admin	OK	CLOSE[0]	0.24 ms
17:25:44.674	127.0.0.1:55880	admin	REQUEST	EXIT	0.33 ms
17:25:44.675	127.0.0.1:55880	admin	OK		0.54 ms
17:25:57.679	127.0.0.1:55914	admin	REQUEST	CREATE DB QIK	0.37 ms
17:25:57.691	127.0.0.1:55914	admin	OK	Database 'QIK' created in 10.67 ms.	11.5 ms
17:25:57.691	127.0.0.1:55914	admin	REQUEST	OPEN QIK	0.38 ms
17:25:57.692	127.0.0.1:55914	admin	OK	Database 'QIK' was opened in 0.04 ms.	0.26 ms
17:25:57.692	127.0.0.1:55914	admin	REQUEST	ADD TO a.xml [...]	0.18 ms
17:25:57.699	127.0.0.1:55914	admin	OK	Resource(s) added in 5.03 ms.	6.66 ms
17:25:57.700	127.0.0.1:55914	admin	OK	QUERY[0] //NN[text()='dog']/following::VBG[text()='chasing']/following::NN[text()='cat']	0.21 ms
17:25:57.703	127.0.0.1:55914	admin	OK	RESULTS[0]	2.56 ms
17:25:57.704	127.0.0.1:55914	admin	OK	INFO[0]	0.23 ms
17:25:57.705	127.0.0.1:55914	admin	OK	CLOSE[0]	0.28 ms
17:25:57.705	127.0.0.1:55914	admin	REQUEST	EXIT	0.34 ms
17:25:57.706	127.0.0.1:55914	admin	OK		0.57 ms
17:27:12.600	127.0.0.1:56070	admin	REQUEST	CREATE DB QIK	0.4 ms
17:27:12.614	127.0.0.1:56070	admin	OK	Database 'QIK' created in 12.2 ms.	14.26 ms
17:27:12.615	127.0.0.1:56070	admin	REQUEST	OPEN QIK	0.42 ms
17:27:12.615	127.0.0.1:56070	admin	OK	Database 'QIK' was opened in 0.05 ms.	0.37 ms
17:27:12.616	127.0.0.1:56070	admin	REQUEST	ADD TO a.xml [...]	0.26 ms
17:27:12.625	127.0.0.1:56070	admin	OK	Resource(s) added in 4.44 ms.	9.05 ms
17:27:12.628	127.0.0.1:56070	admin	OK	QUERY[0] //NN[text()='dog']/following::VBG[text()='chasing']/following::NN[text()='cat']	0.45 ms
17:27:12.632	127.0.0.1:56070	admin	OK	RESULTS[0]	2.59 ms
17:30:59.043	127.0.0.1:56599	admin	REQUEST	CREATE DB QIK	3.47 ms
17:30:59.061	127.0.0.1:56599	admin	OK	Database 'QIK' created in 13.96 ms.	17.55 ms
17:30:59.062	127.0.0.1:56599	admin	REQUEST	OPEN QIK	0.64 ms
17:30:59.063	127.0.0.1:56599	admin	OK	Database 'QIK' was opened in 0.06 ms.	0.36 ms
17:30:59.063	127.0.0.1:56599	admin	REQUEST	ADD TO a.xml [...]	0.2 ms
17:30:59.071	127.0.0.1:56599	admin	OK	Resource(s) added in 6.51 ms.	7.91 ms
17:30:59.073	127.0.0.1:56599	admin	OK	QUERY[0] //NN[text()='dog']/following::VBG[text()='chasing']/following::NN[text()='cat']	0.29 ms
17:30:59.077	127.0.0.1:56599	admin	OK	RESULTS[0]	3.25 ms
17:30:59.078	127.0.0.1:56599	admin	OK	INFO[0]	0.3 ms
17:30:59.079	127.0.0.1:56599	admin	OK	CLOSE[0]	0.28 ms
17:30:59.079	127.0.0.1:56599	admin	REQUEST	EXIT	0.36 ms
17:30:59.080	127.0.0.1:56599	admin	OK		0.53 ms
17:33:28.700	127.0.0.1:56921	admin	REQUEST	XQUERY collection('QIK')	1.3 ms
17:33:28.712	127.0.0.1:56921	admin	OK	Query executed in 10.34 ms.	12.61 ms
17:33:42.219	127.0.0.1:56921	admin	REQUEST	XQUERY collection('	0.68 ms
17:33:42.221	127.0.0.1:56921	admin	ERROR	Stopped at ., 1/13: [XPST0003] Expecting quote.	2.52 ms
17:38:52.314	127.0.0.1:57659	admin	REQUEST	CREATE DB QIK	3.89 ms
17:38:52.333	127.0.0.1:57659	admin	OK	Database 'QIK' created in 15.66 ms.	19.03 ms
17:38:52.334	127.0.0.1:57659	admin	REQUEST	OPEN QIK	0.35 ms
17:38:52.334	127.0.0.1:57659	admin	OK	Database 'QIK' was opened in 0.02 ms.	0.26 ms
17:38:52.335	127.0.0.1:57659	admin	REQUEST	ADD TO a.xml [...]	0.2 ms
17:38:52.346	127.0.0.1:57659	admin	OK	Resource(s) added in 9.74 ms.	11.09 ms
17:38:52.347	127.0.0.1:57659	admin	OK	QUERY[0] //FILE[//NN[text()='dog']/following::VBG[text()='chasing']/following::NN[text()='cat']]	0.2 ms
17:38:52.353	127.0.0.1:57659	admin	OK	RESULTS[0]	5.07 ms
17:38:52.353	127.0.0.1:57659	admin	OK	INFO[0]	0.17 ms
17:38:52.354	127.0.0.1:57659	admin	OK	CLOSE[0]	0.16 ms
17:38:52.354	127.0.0.1:57659	admin	REQUEST	DROP DB QIK	0.36 ms
17:38:52.358	127.0.0.1:57659	admin	OK	Database 'QIK' was dropped.	3.17 ms
17:38:52.358	127.0.0.1:57659	admin	REQUEST	EXIT	0.34 ms
17:38:52.358	127.0.0.1:57659	admin	OK		0.23 ms
17:40:07.014	127.0.0.1:57828	admin	REQUEST	CREATE DB QIK	0.53 ms
17:40:07.029	127.0.0.1:57828	admin	OK	Database 'QIK' created in 9.79 ms.	14.57 ms
17:40:07.029	127.0.0.1:57828	admin	REQUEST	OPEN QIK	0.47 ms
17:40:07.030	127.0.0.1:57828	admin	OK	Database 'QIK' was opened in 0.03 ms.	0.3 ms
17:40:07.030	127.0.0.1:57828	admin	REQUEST	ADD TO a.xml [...]	0.52 ms
17:40:07.037	127.0.0.1:57828	admin	OK	Resource(s) added in 4.51 ms.	6.21 ms
17:40:07.038	127.0.0.1:57828	admin	OK	QUERY[0] //FILE[//NN[text()='dog']/following::VBG[text()='chasing']/following::NN[text()='cat']]	0.15 ms
17:40:07.042	127.0.0.1:57828	admin	OK	RESULTS[0]	2.78 ms
17:40:07.046	127.0.0.1:57828	admin	OK	EXEC[0]	2.79 ms
17:40:07.052	127.0.0.1:57828	admin	OK	EXEC[0]	5.15 ms
